,x,y
/content/Recordings/Cut01.wav,0,0
/content/Recordings/Cut02.wav,20,0
/content/Recordings/Cut03.wav,40,0
/content/Recordings/Cut04.wav,60,0
/content/Recordings/Cut05.wav,80,0
/content/Recordings/Cut06.wav,0,20
/content/Recordings/Cut07.wav,20,20
/content/Recordings/Cut08.wav,40,20
/content/Recordings/Cut09.wav,60,20
/content/Recordings/Cut10.wav,80,20
/content/Recordings/Cut11.wav,0,40
/content/Recordings/Cut12.wav,20,40
/content/Recordings/Cut13.wav,40,40
/content/Recordings/Cut14.wav,60,40
/content/Recordings/Cut15.wav,80,40
/content/Recordings/Cut16.wav,0,60
/content/Recordings/Cut17.wav,20,60
/content/Recordings/Cut18.wav,40,60
/content/Recordings/Cut19.wav,60,60
/content/Recordings/Cut20.wav,80,60
/content/Recordings/Cut21.wav,0,80
/content/Recordings/Cut22.wav,20,80
/content/Recordings/Cut23.wav,40,80
/content/Recordings/Cut24.wav,60,80
/content/Recordings/Cut25.wav,80,80
